#vuds_ident alpha delta spmask_obs quad slit obj det meanflux sn maxdel rmsdel z_spec zflags id_iau id_candels magi
5101001041 150.16252136 2.24579906 F51P006 2 24 1 OK 0.145 0.443 1.091 0.56 4.3853 2 VUDS-J100039.00+021444.8 5654 24.686
5181242844 150.16322327 2.31426406 F51P006 2 25 1 OK 0.198 0.549 1.833 0.911 5.3353 1 VUDS-J100039.17+021851.3 11487 25.654
5101236151 150.16340637 2.36029696 F51P006 2 26 1 OK 6.158 3.884 1.545 0.839 2.8221 3 VUDS-J100039.21+022137.0 15130 23.822
5100998761 150.16477966 2.26069689 F51P006 2 27 1 OK 1.955 2.711 1.532 0.874 2.4460 4 VUDS-J100039.54+021538.5 6749 24.902
5101239631 150.16572571 2.33618212 F51P006 2 28 1 OK 0.783 0.964 2.658 1.224 2.8777 1 VUDS-J100039.77+022010.2 13048 24.951
5100996069 150.16717529 2.27849102 F51P006 2 30 1 OK 0.401 0.869 1.612 0.816 3.1692 22 VUDS-J100040.12+021642.5 8242 25.099
5100996068 150.16772461 2.27846694 F51P006 2 30 2 OK 4.461 4.769 1.612 0.816 0.1868 4 VUDS-J100040.25+021642.4 8249 23.783
5150100059 150.16760254 2.31769991 F51P006 2 31 1 OK 0.002 0.162 1.052 0.673 5.7143 9 VUDS-J100040.22+021903.7 -99.9 24.9
5101236942 150.16723633 2.35573602 F51P006 2 32 1 OK 1.029 0.994 1.313 0.762 1.2613 1 VUDS-J100040.13+022120.6 14782 23.948
5101001738 150.16914368 2.23839498 F51P006 2 33 1 OK 4.963 3.574 1.557 0.773 2.9967 2 VUDS-J100040.59+021418.2 5145 23.039
5101242525 150.16952515 2.3131671 F51P006 2 34 1 OK 1.139 1.781 1.287 0.729 1.0450 22 VUDS-J100040.68+021847.4 11183 24.884
5170103908 150.16996765 2.31311393 F51P006 2 34 2 OK 0.2 0.585 1.287 0.729 0.0000 4 VUDS-J100040.79+021847.2 11188 23.857
5101236265 150.17001343 2.36076903 F51P006 2 35 1 OK 2.37 2.357 1.948 1.103 2.4626 2 VUDS-J100040.80+022138.7 15169 25.0
5100994794 150.17146301 2.28725791 F51P006 2 36 1 OK 0.002 0.197 1.544 0.964 4.5783 3 VUDS-J100041.15+021714.1 9000 24.662
5101236710 150.17173767 2.35718703 F51P006 2 37 1 OK 1.912 2.197 1.379 0.789 0.3209 4 VUDS-J100041.21+022125.8 14836 24.34
5101001747 150.17301941 2.23938107 F51P006 2 38 1 OK 4.59 3.45 1.02 0.54 2.1451 1 VUDS-J100041.52+021421.7 5156 24.012
5121244426 150.17303467 2.3048141 F51P006 2 39 1 OK 2.28 1.119 1.06 0.648 3.0683 2 VUDS-J100041.52+021817.3 10525 23.967
5101236017 150.17338562 2.35804296 F51P006 2 40 1 OK 0.786 1.14 2.246 1.067 0.6238 3 VUDS-J100041.61+022128.9 14902 24.997
5100999282 150.17448425 2.25841594 F51P006 2 41 1 OK 2.58 1.669 1.439 0.749 1.2543 2 VUDS-J100041.87+021530.2 6611 24.426
5101242054 150.17501831 2.31498098 F51P006 2 42 1 OK 2.672 3.256 0.589 0.355 1.0440 4 VUDS-J100042.00+021853.9 11391 23.844
5101237150 150.17503357 2.35366797 F51P006 2 43 1 OK 3.654 3.291 1.858 0.88 1.4380 3 VUDS-J100042.00+022113.2 14583 24.151
5101244632 150.17764282 2.30321193 F51P006 2 45 1 OK 0.326 0.376 2.101 0.975 4.5881 2 VUDS-J100042.63+021811.5 10353 24.312
5110347551 150.17796326 2.35370302 F51P006 2 46 1 OK 2.862 2.314 1.883 1.151 2.6629 2 VUDS-J100042.71+022113.3 14532 24.952
5101240553 150.17929077 2.32869196 F51P006 2 48 1 OK 4.135 3.683 1.965 1.039 2.5585 3 VUDS-J100043.02+021943.2 12480 24.051
5101001604 150.18133545 2.241503 F51P006 2 49 1 OK 1.095 1.496 1.663 0.795 3.1582 3 VUDS-J100043.51+021429.4 5299 24.975
5110328102 150.18122864 2.31874394 F51P006 2 50 1 OK 1.045 1.306 1.114 0.739 2.8002 2 VUDS-J100043.49+021907.4 11724 24.767
5101002470 150.18252563 2.2359271 F51P006 2 51 1 OK 0.763 1.303 0.585 0.323 2.1908 22 VUDS-J100043.80+021409.3 4866 23.690
5121002466 150.18370056 2.235708 F51P006 2 51 2 OK 0.788 1.295 0.585 0.323 3.0053 1 VUDS-J100044.08+021408.5 4796 24.986
5101241758 150.18347168 2.32048893 F51P006 2 52 1 OK 1.72 2.275 0.673 0.49 2.8187 1 VUDS-J100044.03+021913.7 11861 24.664
5101001616 150.18554688 2.24180889 F51P006 2 53 1 OK 4.601 4.055 1.006 0.509 0.3381 3 VUDS-J100044.53+021430.5 5380 23.591
5100995077 150.18678284 2.28473496 F51P006 2 54 1 OK 1.671 1.483 1.361 0.686 2.3651 1 VUDS-J100044.82+021705.0 8789 24.87
5100995291 150.18522644 2.28445411 F51P006 2 54 2 OK 0.001 0.17 1.361 0.686 0.9993 22 VUDS-J100044.45+021704.0 8783 24.52
5110332328 150.18589783 2.32699299 F51P006 2 55 1 OK 0.645 0.98 1.375 0.72 2.9635 2 VUDS-J100044.61+021937.1 12334 24.807
5101001924 150.18812561 2.23971701 F51P006 2 56 1 OK 2.818 3.079 0.926 0.471 1.1550 3 VUDS-J100045.15+021422.9 5165 24.392
5101240563 150.18836975 2.32918906 F51P006 2 58 1 OK 3.397 2.958 0.873 0.532 2.2879 3 VUDS-J100045.20+021945.0 12533 24.324
5101002091 150.19056702 2.23656201 F51P006 2 59 1 OK 2.665 2.185 1.925 0.852 3.3212 2 VUDS-J100045.73+021411.6 4865 24.107
5120995916 150.19116211 2.28008008 F51P006 2 60 1 OK 2.491 2.574 0.638 0.364 2.8202 2 VUDS-J100045.88+021648.2 8367 24.535
5170103321 150.20213318 2.31016707 F51P006 2 77 1 OK 0.769 1.383 1.099 0.655 0.0000 4 VUDS-J100048.51+021836.6 10955 23.465
5101002088 150.19245911 2.23661304 F51P006 2 63 1 OK 0.533 1.331 0.455 0.218 3.0874 1 VUDS-J100046.19+021411.8 4859 24.556
5101002097 150.19378662 2.23651195 F51P006 2 63 2 OK 1.422 1.477 0.455 0.218 0.0000 24 VUDS-J100046.50+021411.4 5077 19.345
5101243094 150.19299316 2.31307101 F51P006 2 65 1 OK 5.791 5.274 1.955 1.042 2.6113 2 VUDS-J100046.32+021847.0 11186 23.909
5101236189 150.19293213 2.36124897 F51P006 2 66 1 OK 0.463 0.806 1.269 0.909 2.6419 1 VUDS-J100046.30+022140.4 15184 24.821
5101000103 150.1965332 2.25314689 F51P006 2 67 1 OK 1.143 1.41 1.122 0.669 3.0200 1 VUDS-J100047.16+021511.3 6203 24.844
5101019304 150.19673157 2.29264092 F51P006 2 68 1 OK 2.324 2.626 1.241 0.568 2.1328 2 VUDS-J100047.21+021733.5 9450 24.653
5101236306 150.197 2.35971 F51P006 2 69 1 OK 0.281 0.724 1.85 1.04 2.5729 22 VUDS-J100047.30+022134.9 33991 26.419
5101244930 150.19859314 2.30064392 F51P006 2 71 1 OK 0.262 0.719 1.028 0.501 4.5769 4 VUDS-J100047.66+021802.3 10102 24.059
5101238475 150.19841003 2.34281111 F51P006 2 72 2 OK 0.001 0.1 2.105 0.893 6.0600 9 VUDS-J100047.61+022034.1 13718 24.936
5101002019 150.20021057 2.23903608 F51P006 2 73 2 OK 0.009 0.635 2.294 1.08 4.0714 1 VUDS-J100048.05+021420.5 5099 24.569
5101242332 150.20050049 2.31603503 F51P006 2 74 1 OK 2.561 2.558 1.231 0.801 2.8625 3 VUDS-J100048.11+021857.7 11456 24.846
5101236893 150.20083618 2.35633993 F51P006 2 75 1 OK 2.591 2.462 1.253 0.733 0.7278 3 VUDS-J100048.20+022122.8 14797 24.174
5101002365 150.20195007 2.23722291 F51P006 2 76 1 OK 3.628 3.556 1.349 0.734 1.2436 4 VUDS-J100048.46+021414.0 4976 23.603
5101239099 150.20385742 2.33874202 F51P006 2 80 1 OK 1.398 2.227 1.469 0.808 0.3480 4 VUDS-J100048.92+022019.4 13264 24.577
