# Keckid  DR1id   DR8id  x  y  ra  dec  field  U_colf  U_colfe  B_colf  B_colfe  V_colf  V_colfe  R_colf  R_colfe  i_colf  i_colfe  z_colf  z_colfe  J_colf  J_colfe  H_colf  H_colfe K_colf  K_colfe  K_totf  K_totfe  ch1_colf  ch1_colfe  ch2_colf  ch2_colfe  ch3_colf  ch3_colfe  ch4_colf  ch4_colfe  Uw  Bw  Vw  Rw  iw  zw  Jw  Hw  Kw  ap_col  ap_tot  f_deblend1  f_deblend2  Kr50  Keps  Kposang  totcor  Kstarclass  Opt_badpix  NIR_badpix  UH_maxflags  K_flags  z_spec
# by R. F. Quadri and R. J. Williams on Tue Aug 21 22:40:39 2012
# note PapID=KeckID-1
# DR1 from Williams+08
# DR8 from Quadri+12
#
# generated by Vy on 11Sept2014
 Keckid  DR1id   DR8id  x  y  ra  dec  field  U_colf  U_colfe  B_colf  B_colfe  V_colf  V_colfe  R_colf  R_colfe  i_colf  i_colfe  z_colf  z_colfe  J_colf  J_colfe  H_colf  H_colfe K_colf  K_colfe  K_totf  K_totfe  ch1_colf  ch1_colfe  ch2_colf  ch2_colfe  ch3_colf  ch3_colfe  ch4_colf  ch4_colfe  Uw  Bw  Vw  Rw  iw  zw  Jw  Hw  Kw  ap_col  ap_tot  f_deblend1  f_deblend2  Kr50  Keps  Kposang  totcor  Kstarclass  Opt_badpix  NIR_badpix  UH_maxflags  K_flags  z_spec   
39021 39527   69886    5649.5580    6392.1610   34.575829   -5.180192      9       1.4868       0.0497       1.7660       0.0168       2.0321       0.0172       2.4442       0.0236       4.0865       0.0242       5.2623       0.0500       6.7811       0.1351       6.1188       0.2755       7.1185       0.1834       9.4727       0.3709       8.0312       0.3948       5.4414       0.4469       0.9726       3.2532       5.0794       3.4451       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0061       1.0002       1.0062       1.8000       3.0220      0      0       0.5488       0.1050     -21.5800      1.066         0.95      0      0           0           0  -99.000
39098 39605   70020    5783.1560    6411.5200   34.568301   -5.179107      9       0.1740       0.0468       0.2993       0.0169       0.4010       0.0165       0.4084       0.0227       0.5639       0.0236       0.7170       0.0490       1.4862       0.1369       1.5625       0.2734       3.1299       0.1804       4.1083       0.3156       4.8985       0.3775       4.2938       0.5772       5.1168       3.2443       4.0273       4.3140       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0157       1.0080       1.0067       1.8000       2.6152      0      0       0.5317       0.0450      78.1000      1.102         0.92      0      0           0           0  -99.000
39150 39657   70158    5222.0310    6426.1800   34.599915   -5.178278      9       0.3536       0.0514       0.5143       0.0166       0.5218       0.0163       0.5770       0.0214       0.6594       0.0236       0.8304       0.0487       1.8105       0.1395       2.3022       0.2793       1.9542       0.1889       2.2768       0.3628       2.5968       0.3666       2.4950       0.4289      -2.0269       2.9687       0.5007       3.1782       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0008       1.0002       0.9990       1.8000       2.8473      0      0       0.4711       0.0370      68.0400      1.080         0.96      0      0           0           0  -99.000
39176 39683   70278    5582.9170    6424.3100   34.579583   -5.178387      9       0.6244       0.0479       0.9103       0.0166       1.0256       0.0178       1.0783       0.0237       1.2970       0.0253       1.4012       0.0507       3.4308       0.1377       3.4600       0.2775       3.6151       0.1834       4.9755       0.4992       4.4581       0.4187       3.9121       0.4581       4.1398       3.4715      -4.1817       3.4076       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0085       1.0064       1.0111       1.8000       3.9359      1      1       0.6407       0.1180     -63.7500      1.025         0.06      0      0           3           3  -99.000
39186 39693   70171    5338.9540    6410.2430   34.593328   -5.179173      9       0.0769       0.0508       0.2461       0.0172       0.4621       0.0173       0.5366       0.0225       0.8564       0.0256       1.2991       0.0497       6.2675       0.1398       8.5031       0.2823      10.9310       0.1878      15.1499       0.4351      15.9973       0.3580      18.2825       0.3863      12.3841       2.8496       7.7767       2.7150       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0021       1.0023       0.9959       1.8000       3.3928      1      1       0.5789       0.0590     -30.5800      1.044         0.87      0      0           3           3  -99.000
39219 39726   70304    5419.4820    6415.6950   34.588791   -5.178868      9       0.0259       0.0346       0.1578       0.0171       0.2749       0.0171       0.3185       0.0220       0.5275       0.0251       0.8645       0.0500       3.6577       0.1410       7.8542       0.2774      15.3739       0.1882      27.7674       0.6220      37.6610       0.2950      46.3787       0.3122      42.2956       2.2607      30.7187       2.1989       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0071       0.9972       0.9978       1.8000       4.6367      0      0       0.8167       0.3090      88.7500      1.012         0.03      0      0           0           0  -99.000
39231 39738   70315    5347.7540    6398.3880   34.592832   -5.179839      9       0.2880       0.0348       0.4967       0.0171       0.6282       0.0173       0.7950       0.0223       1.3578       0.0256       2.3621       0.0498       9.3787       0.1398      16.2589       0.2807      24.8676       0.1882      49.1044       0.6959      45.3885       0.2799      53.5763       0.3099      47.6992       2.1438      31.3517       2.1614       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0044       1.0011       0.9921       1.8000       5.1003      1      0       0.8827       0.4230      25.3200      1.007         0.03      0      0           2           2  -99.000
39290 39797  -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999     -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 
39463 39971   70710    5346.8820    6462.1350   34.592881   -5.176262      9       1.7939       0.0498       2.1133       0.0171       2.0774       0.0170       2.1363       0.0226       2.1885       0.0251       2.5042       0.0502       4.3339       0.1412       5.3887       0.2894       4.0366       0.1867       5.4252       0.3595       5.4214       0.3514       6.1578       0.3795       2.9995       2.8319      -0.8624       2.6731       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0093       1.0072       1.0075       1.8000       2.8701      0      0       0.5581       0.2010      19.3000      1.078         0.83      0      0           0           0  -99.000
39701 40213   71098    5298.1670    6489.0800   34.595625   -5.174749      9       0.0502       0.0489       0.1291       0.0166       0.1501       0.0163       0.2715       0.0225       0.5652       0.0239       1.0248       0.0491       5.7389       0.1394      10.2444       0.2811      15.9207       0.1857      22.4948       0.4638      34.7692       0.3341      45.8061       0.3683      41.3119       2.6555      29.1837       2.7613       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0026       1.0093       1.0158       1.8000       3.6470      0      0       0.6214       0.1880     -85.4900      1.034         0.22      0      0           0           0  -99.000
39717 40230   71311    5435.6460    6469.5620   34.587880   -5.175846      9       0.3315       0.0485       0.6640       0.0174       1.0720       0.0176       1.5241       0.0229       3.1290       0.0262       5.9224       0.0532      28.5184       0.1460      44.1963       0.2885      62.1239       0.1867      98.4971       0.6685     101.4831       0.3276     110.6985       0.3436      82.0967       2.5452      57.6153       2.4327       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0051       1.0134       1.0155       1.8000       4.9501      0      0       0.7078       0.1950      -9.5800      1.008         0.12      0      0           0           0  -99.000
39771 40285   71229    5346.7270    6501.7590   34.592889   -5.174038      9       0.9794       0.0509       1.3597       0.0165       1.4270       0.0164       1.6422       0.0225       1.9245       0.0244       2.4202       0.0506       4.9274       0.1417       5.5493       0.2891       6.4946       0.1854       8.3198       0.3648       9.0725       0.3623       9.1491       0.4020      -3.8619       2.9069       3.8685       2.7481       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9995       1.0157       1.0085       1.8000       2.9113      0      0       0.5096       0.0850       1.9200      1.074         0.98      0      0           0           0  -99.000
39815 40329   71261    5345.8640    6522.9530   34.592937   -5.172849      9       0.0687       0.0478       0.2195       0.0163       0.4695       0.0161       0.6155       0.0221       0.7004       0.0242       0.7677       0.0500       0.7030       0.1408       1.0099       0.2868       1.5132       0.1844       2.0142       0.2964       0.3601       0.3580       0.2942       0.3818      -1.0741       2.8937      -1.9629       2.8870       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0057       1.0150       1.0154       1.8000       2.3725      0      0       0.4830       0.2470     -72.7800      1.132         0.87      0      0           0           0  -99.000
39865 40380   71384    5225.5390    6505.9830   34.599717   -5.173800      9       0.3127       0.0428       0.5379       0.0165       0.6514       0.0174       0.9182       0.0226       1.5064       0.0241       2.4186       0.0498       9.3559       0.1387      15.1165       0.2743      21.2216       0.1849      36.9102       0.5748      43.5141       0.3059      59.4062       0.3481      57.0330       2.4084      75.4404       2.6246       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0101       1.0120       1.0086       1.8000       4.3975      1      0       0.7995       0.3240     -58.2000      1.015         0.03      0      0           2           2  -99.000
39989 40504   71590    5441.2090    6533.9840   34.587566   -5.172231      9       0.1861       0.0505       0.3339       0.0174       0.3558       0.0166       0.5024       0.0237       0.8365       0.0254       1.2837       0.0532       5.5493       0.1477       7.6756       0.2969       9.5843       0.1843      12.1325       0.3711      15.7391       0.3818      17.1416       0.4357       5.9197       2.9885      19.4837       3.1561       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0142       1.0218       1.0162       1.8000       2.9702      0      0       0.5076       0.0390     -83.5500      1.070         0.98      0      0           0           0  -99.000
40165 40683   71941    5578.6260    6561.1410   34.579823   -5.170709      9       1.1469       0.0488       1.6868       0.0180       1.8177       0.0181       2.0245       0.0244       2.4706       0.0254       2.9705       0.0499       6.6340       0.1419       8.0608       0.2767       9.1680       0.1825      14.9262       0.4915      13.8647       0.3449      14.9071       0.4851      15.7784       2.9642       9.3184       3.7384       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0187       1.0202       1.0219       1.8000       3.8729      1      1       0.7294       0.1640     -58.4900      1.027         0.03      0      0           3           3  -99.000
40171 40689   71984    5402.2830    6535.1560   34.589759   -5.172165      9       1.3565       0.0481       1.6342       0.0171       1.7111       0.0165       1.8634       0.0227       2.8615       0.0238       4.8313       0.0509      19.7883       0.1464      32.5611       0.2934      46.8309       0.1842      84.3254       0.7136      76.9426       0.2907      82.1554       0.3414      54.6753       2.2871      35.8532       2.4658       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0157       1.0276       1.0159       1.8000       5.3002      0      0       0.8058       0.0720     -11.9100      1.006         0.03      0      0           0           0  -99.000
40243 40761   72079    4922.2840    6580.4980   34.616801   -5.169615      9       0.6528       0.0593       0.9753       0.0151       1.0899       0.0154       1.1696       0.0211       1.3867       0.0217       1.6513       0.0474       3.5377       0.1443       4.0512       0.2790       4.0243       0.1842       6.8497       0.6140       3.9006       0.2755       4.7946       0.3211       2.7900       2.4283       3.3877       2.3798       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0102       1.0061       1.0064       1.8000       4.6633      0      0       0.7500       0.1980      60.6700      1.011         0.04      0      0           0           0  -99.000
40300 40818   72129    5335.5350    6583.7240   34.593519   -5.169439      9       0.6037       0.0485       0.9135       0.0159       1.0285       0.0157       1.0712       0.0211       1.4795       0.0230       1.8145       0.0478       4.2439       0.1371       5.9977       0.2783       7.5412       0.1818      10.2375       0.3925      11.3656       0.3623      12.2235       0.4244      13.6016       2.6908       2.7613       3.0613       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0197       1.0284       1.0184       1.8000       3.1901      0      0       0.5844       0.1040     -43.7600      1.055         0.26      0      0           0           0  -99.000
40382 40900   72306    4909.9610    6593.8610   34.617495   -5.168865      9       0.2908       0.0563       0.4054       0.0149       0.4496       0.0153       0.6226       0.0209       0.9189       0.0214       1.2084       0.0464       3.4117       0.1452       5.3190       0.2788       6.4659       0.1840       9.1133       0.4627      11.7799       0.2799      14.5096       0.3369      16.2725       2.4945      14.7771       2.4437       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0129       1.0140       1.0133       1.8000       3.6661      0      0       0.6228       0.1350       3.8300      1.033         0.14      0      0           0           0  -99.000
40388 40906   72474    5381.9480    6576.0450   34.590904   -5.169871      9       0.0327       0.0347       0.0360       0.0164       0.0549       0.0158       0.1657       0.0216       0.4344       0.0233       1.0787       0.0481       4.3085       0.1408       8.6040       0.2850      18.0145       0.1822      33.1420       0.6455      40.6592       0.2994      44.9864       0.3638      34.3645       2.2783      25.6681       2.4989       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0193       1.0269       1.0245       1.8000       4.9195      1      0       0.8254       0.3670       7.8500      1.009         0.03      0      0           2           2  -99.000
40525 41044   72560    4873.2300    6625.3410   34.619564   -5.167098      9       0.3913       0.0583       0.5466       0.0142       0.5526       0.0152       0.5912       0.0208       0.6448       0.0211       0.7783       0.0452       1.9514       0.1448       1.8121       0.2776       2.1160       0.1839       4.6941       0.6518       0.8049       0.2517       1.1655       0.3032       2.1085       2.2232       0.2404       2.1945       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0160       1.0196       1.0118       1.8000       4.9223      0      0       0.9973       0.3690     -58.4800      1.009         0.18      0      0           0           0  -99.000
40568 41087   72541    5562.8940    6628.9860   34.580709   -5.166902      9       0.7390       0.0505       1.0418       0.0173       1.1136       0.0180       1.1630       0.0243       1.3002       0.0253       1.4316       0.0495       3.1141       0.1424       3.3444       0.2775       2.9832       0.1825       4.8059       0.5140       3.5166       0.2864       4.7699       0.5030      -1.1248       2.6974      -7.1614       3.8200       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0267       1.0332       1.0244       1.8000       4.0294      0      0       0.6832       0.1320     -86.4900      1.022         0.97      0      0           0           0  -99.000
40641 41162   72707    5693.0910    6612.8270   34.573374   -5.167810      9       0.0495       0.0506       0.1122       0.0175       0.3439       0.0183       0.5728       0.0231       1.6700       0.0244       3.8648       0.0501      20.2507       0.1375      32.1984       0.2774      46.6254       0.1812      63.3599       0.4822      75.4110       0.2950      85.8968       0.5682      62.2381       2.7613      43.9895       4.3956       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0254       1.0249       1.0255       1.8000       3.8573      0      0       0.5763       0.0750      20.4900      1.027         0.97      0      0           0           0  -99.000
40729 41252   72857    5489.4200    6651.9390   34.584848   -5.165613      9       0.8103       0.0498       1.0945       0.0168       1.1928       0.0163       1.2304       0.0233       1.3486       0.0248       1.5642       0.0502       3.3050       0.1412       3.6115       0.2750       3.5183       0.1816       4.4103       0.3846       4.1458       0.3254       3.6358       0.5143       0.5337       2.7944       7.7900       4.0185       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0272       1.0306       1.0274       1.8000       3.1000      0      0       0.5393       0.0810      78.1700      1.061         0.61      0      0           0           0  -99.000
40731 41254   72840    5346.0470    6657.5090   34.592925   -5.165299      9       0.9955       0.0490       1.2526       0.0158       1.2594       0.0156       1.2290       0.0207       1.2393       0.0217       1.3455       0.0466       2.6484       0.1358       2.8575       0.2720       2.0495       0.1799       2.9116       0.3758       1.9438       0.3471       0.8399       0.5390      -4.6405       2.6422      -6.7842       3.9104       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0252       1.0299       1.0319       1.8000       3.0624      0      0       0.5727       0.1860     -68.1800      1.063         0.86      0      0           0           0  -99.000
40791 41314   73032    5204.2150    6662.3310   34.600916   -5.165027      9       0.7190       0.0446       0.9587       0.0168       1.0288       0.0169       1.0153       0.0227       1.0967       0.0249       1.2292       0.0483       2.2903       0.1382       2.5172       0.2755       3.0724       0.1816       5.1656       0.5033       3.7704       0.3666       3.7549       0.4065      -1.6983       2.7371      -1.8571       3.0282       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0255       1.0213       1.0227       1.8000       3.9918      0      0       0.7628       0.1360     -33.7600      1.023         0.01      0      0           0           0  -99.000
40956 41481   73306    5363.8640    6692.9030   34.591921   -5.163313      9       0.0356       0.0278       0.0151       0.0157       0.0139       0.0156       0.0273       0.0206       0.0686       0.0215       0.0903       0.0473       0.6313       0.1361       1.2748       0.2704       2.7856       0.1792       3.5492       0.3526       9.0400       0.3601      14.1548       0.5704      11.7842       2.9157       4.3096       4.4927       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0312       1.0329       1.0286       1.8000       2.9136      0      0       0.5076       0.2090      37.8800      1.074         0.85      0      0           0           0  -99.000
40974 41499   73408    5730.9150    6669.7590   34.571242   -5.164616      9       0.1997       0.0472       0.2827       0.0170       0.3660       0.0173       0.5210       0.0228       1.1034       0.0232       2.2348       0.0489      11.3081       0.1381      18.5852       0.2777      26.7476       0.1809      39.3537       0.5179      44.5641       0.2972      50.6119       0.5412      47.3728       2.3577      38.2683       4.1067       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0204       1.0259       1.0248       1.8000       4.1075      1      1       0.6450       0.0540      18.1200      1.021         0.19      0      0           3           3  -99.000
41046 41571   73396    5921.6720    6702.9810   34.560494   -5.162754      9       0.1308       0.0495       0.2577       0.0153       0.3034       0.0161       0.3130       0.0221       0.4321       0.0221       0.6309       0.0476       1.4784       0.1332       1.8888       0.2692       3.3854       0.1789       4.4879       0.3789       7.0050       0.3015       8.7943       0.5861       5.8866       2.4658      21.0320       4.6868       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0165       1.0236       1.0134       1.8000       3.1392      0      0       0.5593       0.2520     -81.6100      1.058         0.71      0      0           0           0  -99.000
41086 41611   73500    5295.1980    6694.5430   34.595790   -5.163220      9       0.0474       0.0554       0.0410       0.0158       0.0853       0.0155       0.1240       0.0214       0.3247       0.0222       0.8023       0.0466       4.2901       0.1378       8.9047       0.2766      15.0685       0.1800      21.0332       0.4513      28.1829       0.3710      32.1318       0.5659      25.4916       2.9356      11.4710       4.2677       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0328       1.0288       1.0298       1.8000       3.6452      0      0       0.6007       0.1120      60.3100      1.034         0.75      0      0           0           0  -99.000
41189 41717   73661    4825.5560    6714.6310   34.622249   -5.162087      9       1.9072       0.0546       2.5984       0.0153       2.8008       0.0156       3.0156       0.0210       3.3140       0.0208       3.8668       0.0485       7.1790       0.1408       8.2799       0.2751       7.2849       0.1841      10.1808       0.4165       9.6864       0.3059       9.8385       0.3773      11.5835       2.6665      -0.1235       2.7613       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0237       1.0218       1.0146       1.8000       3.3278      0      0       0.6203       0.1230     -20.8700      1.048         0.07      0      0           0           0  -99.000
41297 41825   73862    5185.4440    6734.0620   34.601973   -5.161002      9       0.8352       0.0541       1.2301       0.0170       1.2779       0.0167       1.4577       0.0235       1.7834       0.0249       2.1737       0.0495       4.5596       0.1406       5.6128       0.2780       6.6973       0.1809       8.9406       0.3925       9.9229       0.4361      11.7272       0.5075       2.2055       3.1230      13.7052       3.7229       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0316       1.0362       1.0289       1.8000       3.2089      0      0       0.5935       0.0190     -41.2300      1.054         0.08      0      0           0           0  -99.000
41459 41988   74083    5638.9930    6750.4940   34.576420   -5.160085      9       1.0746       0.0467       1.5428       0.0161       2.2541       0.0161       3.8129       0.0232       4.4488       0.0227       4.4899       0.0501       5.7467       0.1358       5.9690       0.2757       6.8245       0.1808       9.1001       0.3656       7.6472       0.4187       6.7439       0.8017       3.7141       3.2443       4.1530       5.8888       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0349       1.0358       1.0276       1.8000       3.0294      1      1       0.5888       0.0930      12.7400      1.065         0.39      0      0           3           3  -99.000
41511 42042   74180    5630.9940    6771.9500   34.576870   -5.158881      9       0.0606       0.0486       0.1444       0.0159       0.1861       0.0160       0.2443       0.0229       0.3182       0.0223       0.3873       0.0492       1.4468       0.1351       2.3589       0.2756       3.1838       0.1811       4.3221       0.3569       4.6621       0.2647       6.2880       0.4963       3.1186       1.9960      -2.2629       3.7097       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0335       1.0299       1.0311       1.8000       2.9258      0      0       0.5818       0.2920      89.7700      1.073         0.34      0      0           0           0  -99.000
41548 42080   74329    5257.1510    6760.2830   34.597932   -5.159531      9       0.6873       0.0465       1.0753       0.0157       1.0546       0.0159       1.3114       0.0217       1.7674       0.0237       2.3545       0.0473       5.6212       0.1380       9.0532       0.2743      10.6044       0.1791      17.8966       0.5337      21.1366       0.3796      24.9186       0.5188      20.5711       2.7459      11.2438       3.8928       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0325       1.0367       1.0324       1.8000       4.2441      0      0       0.7573       0.3610      36.4400      1.018         0.03      0      0           0           0  -99.000
41581 42114   74383    4886.0940    6781.9890   34.618837   -5.158308      9       3.7310       0.0593       6.8701       0.0155       9.0945       0.0154      10.2043       0.0211      10.3149       0.0209      10.3523       0.0488       9.7745       0.1339       8.4879       0.2735       5.4299       0.1817       7.1832       0.3488       2.9938       0.3319       0.2246       0.3750      -1.8924       2.6444      -2.4967       2.8275       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0262       1.0199       1.0283       1.8000       2.8629      0      0       0.5323       0.0340      79.3500      1.078         0.98      0      0           0           0  -99.000
41635 42169   74417    5444.5690    6787.8940   34.587373   -5.157984      9       0.4585       0.0490       0.8670       0.0154       1.0099       0.0156       1.1064       0.0206       1.4729       0.0204       1.8615       0.0476       3.6965       0.1353       5.0618       0.2674       5.9241       0.1774       7.3199       0.3462       9.4196       0.2690      11.0827       0.5345       6.0057       2.1438       2.4702       4.2589       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0363       1.0324       1.0387       1.8000       2.9082      0      0       0.5086       0.0410      81.9200      1.075         0.88      0      0           0           0  -99.000
41704 42238   74543    5187.6380    6786.0930   34.601848   -5.158082      9       3.0240       0.0527       3.8225       0.0173       4.5031       0.0186       7.7831       0.0254      10.0461       0.0286      10.4163       0.0536      12.9826       0.1408      14.7575       0.2805      16.1723       0.1793      22.1405       0.4338      14.4244       0.4122       9.6970       0.5075       9.1883       2.8694       4.7551       3.8597       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0350       1.0431       1.0357       1.8000       3.5298      0      0       0.5999       0.0880     -42.2800      1.038         0.33      0      0           0           0  -99.000
41875 42411   75008    5593.3180    6807.3080   34.578993   -5.156897      9       0.0587       0.0460       0.1019       0.0154       0.2280       0.0161       0.3668       0.0221       0.8510       0.0213       1.9211       0.0458       9.9397       0.1345      17.4032       0.2723      26.6074       0.1802      44.8695       0.6193      45.0783       0.2234      49.5519       0.4244      39.2806       1.6939      21.0122       3.1826       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0290       1.0359       1.0342       1.8000       4.7845      0      0       0.7478       0.0440      28.0800      1.010         0.05      0      0           0           0  -99.000
41891 42427   74954    5186.7710    6816.8140   34.601897   -5.156358      9       0.0204       0.0453       0.0752       0.0174       0.1816       0.0195       0.3304       0.0262       0.8242       0.0302       1.6984       0.0553       8.0683       0.1415      13.9379       0.2822      21.1879       0.1786      31.3810       0.4937      34.1075       0.3363      37.5553       0.4828      27.1502       2.6731      17.0378       3.6943       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0390       1.0410       1.0338       1.8000       3.9766      0      0       0.6454       0.1090     -68.2000      1.024         0.23      0      0           0           0  -99.000
41956 42492   75023    5226.4860    6828.7510   34.599659   -5.155689      9       1.1166       0.0503       1.7578       0.0165       1.9152       0.0179       2.5427       0.0240       3.4207       0.0267       4.3892       0.0523       9.8377       0.1398      13.5100       0.2774      16.0108       0.1777      24.4085       0.4898      22.3233       0.3298      24.1640       0.4694      12.5870       2.5099      24.5543       3.6612       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0344       1.0460       1.0351       1.8000       3.9601      0      0       0.6874       0.0490      47.5600      1.024         0.03      0      0           0           0  -99.000
41990 42526   75126    5711.0740    6849.6100   34.572358   -5.154524      9       1.8755       0.0498       2.2006       0.0158       2.2283       0.0175       2.2600       0.0222       2.3281       0.0219       2.4664       0.0495       3.7841       0.1351       3.8389       0.2729       3.3433       0.1792       4.7069       0.3409       3.1543       0.2712       3.8177       0.4716       4.6118       2.0401      -1.0807       3.5355       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0318       1.0402       1.0255       1.8000       2.8503      0      0       0.5975       0.1070      36.2400      1.079         0.28      0      0           0           0  -99.000
42053 42592   75200    5140.4970    6865.2050   34.604503   -5.153642      9       0.1605       0.0610       0.2423       0.0179       0.2606       0.0202       0.2960       0.0249       0.3804       0.0268       0.4764       0.0528       1.5297       0.1450       1.6356       0.2814       2.2605       0.1783       2.8704       0.2805       2.7313       0.3493       2.5714       0.5367      -2.4459       2.8826      -2.7415       3.8906       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0396       1.0440       1.0394       1.8000       2.3082      0      0       0.4886       0.1320      83.9600      1.142         0.95      0      0           0           0  -99.000
42289 42830   75670    5806.3090    6886.5480   34.566992   -5.152453      9       0.3874       0.0411       0.5233       0.0159       0.5443       0.0169       0.8212       0.0219       1.1241       0.0221       1.8102       0.0487       4.1428       0.1351       7.7766       0.2762      13.5020       0.1784      19.0809       0.4595      29.1569       0.3905      33.2053       0.5233      30.3504       2.5540      21.2349       4.1707       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0279       1.0313       1.0252       1.8000       3.7587      1      1       0.6072       0.0600     -41.2200      1.030         0.59      0      0           3           3  -99.000
42324 42865   75642    5411.5090    6889.2950   34.589235   -5.152294      9       0.4483       0.0526       2.0731       0.0151       5.7867       0.0156      11.4217       0.0209      25.2141       0.0208      38.7975       0.0485      57.7262       0.1393      61.9179       0.2749      47.4237       0.1765      59.5931       0.3993      24.4146       0.2733      16.0974       0.5906      10.6197       2.1702      -8.3833       4.5743       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0399       1.0452       1.0394       1.8000       3.3420      0      0       0.5052       0.0550      85.0600      1.047         0.98      0      0           0           0  -99.000
42332 42873   75576    5357.5260    6890.6410   34.592276   -5.152218      9       1.1288       0.0466       1.5846       0.0145       1.7554       0.0144       1.8274       0.0204       2.0755       0.0204       2.4180       0.0473       5.1873       0.1323       5.4617       0.2671       5.9161       0.1725       7.9733       0.3582      13.6630       0.6508      12.6255       1.2060       7.8848       4.8500       1.7313       9.3140       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0401       1.0454       1.0382       1.8000       3.4293      1      1       0.5967       0.2450      44.7300      1.043         0.60      0      0           3           3  -99.000
42381 42922   75730    5744.0180    6908.1630   34.570501   -5.151239      9       3.5770       0.0523       7.2964       0.0159      10.5190       0.0177      12.8499       0.0224      13.7290       0.0225      14.0428       0.0504      14.5899       0.1358      13.6297       0.2750       8.9019       0.1786      11.1833       0.3520       2.7139       0.3623       2.1739       0.5255       2.0445       2.3665       0.3595       3.9104       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0311       1.0354       1.0306       1.8000       2.9140      0      0       0.4981       0.0280      83.0200      1.074         0.98      0      0           0           0  -99.000
42545 43088   76051    5808.7830    6935.4640   34.566852   -5.149708      9       0.2806       0.0522       0.4303       0.0163       0.5647       0.0175       0.6603       0.0221       1.0107       0.0225       1.3899       0.0509       5.1752       0.1376       8.0507       0.2772      11.1051       0.1785      14.0681       0.3705      22.3537       0.5011      24.0540       0.6198      26.3937       3.6259      24.2124       4.4949       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0216       1.0249       1.0290       1.8000       3.0860      1      1       0.5246       0.0830      78.8200      1.062         0.97      0      0           3           3  -99.000
