Nameobj,ra,dec,conf,zspec,zphoto,Av,lmass,lsfr_FAST,Ha_lsfr,fha,fha_err,fha_snr,fha_width,L_ha,fnii,fnii_err,fnii_snr,fhb,fhb_err,fhb_snr,fo3,fo3_err,fo3_snr,fo3_width,fo2,fo2_err,fo2_snr,fo2_width,ZFOURGE_AGN,BPT_AGN,zspec_K,conf_K,zspec_H,conf_H,doubles
7910,150.074585,2.3019898,3,2.093717,2.0855,1.1,11.21,0.86,1.96721139491,5.277,0.129,40.9069767442,20.0,1.78060793177e+42,5.791,0.095,60.9578947368,,,,,,,,,,,,x-ray,True,2.093717,3,,1,
7930,150.0625458,2.3023283,3,2.101516,2.1375,0.4,9.69,0.87,1.2257658525,3.149,0.066,47.7121212121,4.193,1.07229618586e+42,0.337,0.056,6.01785714286,1.199,0.176,6.8125,3.429,0.181,18.9447513812,2.272,,,,,,False,2.101516,3,2.101858,3,
7948,150.1086578,2.3033302,3,2.064207,2.1131,0.9,10.08,-1.09,1.66318922081,3.823,0.181,21.1215469613,5.232,1.24582812078e+42,0.743,0.122,6.09016393443,,,,,,,,,,,,,False,2.064207,3,,1,
8108,150.0622711,2.3044007,3,2.162695,2.1705,0.4,9.67,0.83,1.1541686932,2.489,0.07,35.5571428571,9.035,9.09321797819e+41,0.387,0.072,5.375,,,,,,,,,,,,,False,2.162695,3,,1,
8119,150.0773163,2.3047841,3,2.092668,2.1413,1.3,10.0,1.72,1.19254292258,0.63,0.067,9.40298507463,2.73,2.12318497062e+41,0.169,0.045,3.75555555556,,,,,,,,,,,,,False,2.092668,3,,1,SF_8259b
8259,150.0774841,2.3062286,3,2.005062,2.1325,0.4,9.38,0.42,0.737439645117,1.148,0.102,11.2549019608,5.273,3.48328134452e+41,0.03,0.054,0.555555555556,,,,,,,,,,,,,False,2.005062,3,,1,
8260,150.0798035,2.3067846,1,,2.7751,0.3,9.84,0.85,,,,,,,0.181,0.095,1.90526315789,,,,,,,,,,,,,--,2.136327,1,,1,
8507,150.0980377,2.3102665,1,,2.58,0.5,9.5,0.51,,,,,,,0.137,0.079,1.73417721519,,,,,,,,,,,,,--,2.198348,1,,1,
8623,150.1054535,2.3128126,3,2.282935,2.3634,2.4,11.0,1.98,2.72916024185,2.657,0.146,18.198630137,18.668,1.10812601453e+42,1.59,0.102,15.5882352941,,,,,,,,,,,,,True,2.282935,3,,1,
8735,150.1055756,2.3142281,3,2.281659,2.1895,1.4,10.28,1.6,2.05612968034,3.137,0.28,11.2035714286,9.702,1.30652760166e+42,1.613,0.153,10.5424836601,,,,,,,,,,,,,True,2.281659,3,,1,AGN_SUPDU_8623b
898,150.1934662,2.1993973,3,2.432155,2.0666,0.5,10.68,0.75,1.55327427292,3.945,0.215,18.3488372093,12.976,1.92029159763e+42,1.676,0.17,9.85882352941,,,,,,,,,,,,x-ray,True,2.432155,3,,1,
9112,150.099884,2.3196776,3,2.044872,2.0395,0.9,10.28,1.25,1.45653602776,2.431,0.239,10.1715481172,9.04,7.74114026096e+41,0.837,0.232,3.60775862069,,,,,,,,,,,,,True,2.044872,3,,1,
9135,150.1000977,2.3204081,3,2.487494,2.5759,0.8,10.44,0.64,1.86393646727,4.566,0.233,19.5965665236,5.876,2.34780150122e+42,1.598,0.209,7.64593301435,,,,,,,,,,,,,True,2.487494,3,,1,SF_9112b
9420,150.0947418,2.3236084,1,,2.0927,1.0,9.85,1.09,,0.179,0.106,1.68867924528,4.935,,0.239,0.07,3.41428571429,,,,,,,,,,,,,--,2.071765,1,,1,
9571,150.0730896,2.3264444,3,2.090036,2.1159,1.1,9.7,1.6,1.61327750052,2.346,0.139,16.8776978417,7.0,7.88196331564e+41,0.171,0.076,2.25,,,,,,,,,,,,,False,2.090036,3,,1,
9593,150.0966949,2.3258009,1,,2.0717,0.8,9.31,-1.87,,0.724,0.366,1.9781420765,7.851,,0.225,0.135,1.66666666667,,,,,,,,,,,,,--,2.048689,1,,1,
9922,150.0896301,2.3315647,3,2.041576,2.0527,0.3,9.46,-0.34,1.44791561325,6.693,0.061,109.721311475,3.052,2.1228559333e+42,0.647,0.138,4.6884057971,,,,,,,,,,,,,False,2.041576,3,,1,
