Nameobj,ra,dec,conf,zspec,zphoto,Av,lmass,lsfr_FAST,Ha_lsfr,fha,fha_err,fha_snr,fha_width,L_ha,fnii,fnii_err,fnii_snr,fhb,fhb_err,fhb_snr,fo3,fo3_err,fo3_snr,fo3_width,fo2,fo2_err,fo2_snr,fo2_width,ZFOURGE_AGN,BPT_AGN,zspec_K,conf_K,zspec_H,conf_H,doubles
5110,150.0708771,2.2584875,3,2.302796,2.2394,0.2,9.35,-0.27,0.651821732198,0.946,0.089,10.6292134831,7.019,4.02979209784e+41,0.205,0.069,2.97101449275,,,,,,,,,,,,,False,2.302796,3,,1,
5124,150.0708923,2.258769,3,2.291253,2.0748,0.3,9.9,-0.27,0.668815270428,0.839,0.075,11.1866666667,5.585,3.53036963569e+41,0.0,0.02,0.0,0.426,0.028,15.2142857143,2.166,0.073,29.6712328767,1.857,,,,,,False,2.302944,2,2.291253,3,
5124b,,,2,2.302985,,,,,,0.83,0.087,9.54022988506,5.434,3.536361791e+41,0.009,0.064,0.140625,,,,,,,,,,,,,False,2.302985,2,,1,
5154,150.0704041,2.2597401,1,,2.0312,1.4,10.35,1.15,,0.618,0.113,5.46902654867,5.542,,0.212,0.098,2.16326530612,,,,,,,,,,,,,--,2.291277,1,,1,
5155,150.0656128,2.2610033,1,,2.0157,0.6,11.29,0.75,,0.233,0.102,2.28431372549,2.948,,0.0,0.079,0.0,,,,,,,,,,,,,--,2.125622,1,,1,
5165,150.1896057,2.2592144,3,2.09493,2.1773,0.9,9.58,0.74,1.33931916506,1.749,0.109,16.0458715596,9.165,5.91000806818e+41,0.201,0.063,3.19047619048,,,,,,,,,,,,,False,2.09493,3,,1,
522,150.1740112,2.1939116,3,3.203787,3.3152,0.3,9.3,0.06,,,,,,,,,,0.465,0.052,8.94230769231,2.694,0.102,26.4117647059,4.508,,,,,,--,3.203787,3,,1,
5226,150.0973511,2.2601173,1,,2.7445,0.0,9.49,-1.37,,0.0,0.039,0.0,1.0,,0.172,0.077,2.23376623377,,,,,,,,,,,,,--,2.198634,1,,1,
5229,150.0737305,2.2601061,1,,2.541,0.3,9.38,-0.97,,,,,,,,,,0.0,0.098,0.0,1.069,0.118,9.0593220339,5.264,,,,,,--,,1,1.995181,1,
5253,150.0626221,2.2608306,3,2.092421,2.0353,0.7,9.72,0.5,0.823135589008,0.753,0.084,8.96428571429,4.944,2.53697681162e+41,0.256,0.048,5.33333333333,,,,,,,,,,,,,True,2.092421,3,,1,
5269,150.0662231,2.2621527,3,2.108969,2.0687,0.8,10.03,0.24,1.40685854072,2.386,0.127,18.7874015748,7.596,8.1956508701e+41,0.406,0.061,6.65573770492,0.805,0.125,6.44,1.315,0.122,10.7786885246,5.19,,,,,,False,2.108969,3,2.109037,3,SF_5408b
5298,150.0913239,2.2611146,3,2.086127,2.1771,0.1,9.32,0.44,0.815709101545,2.086,0.061,34.1967213115,2.549,6.97631384801e+41,0.035,0.054,0.648148148148,,,,,,,,,,,,,False,2.086127,3,,1,
5338,150.1187897,2.2623525,3,2.198595,2.1936,0.2,9.46,-0.15,0.399064657819,0.592,0.063,9.39682539683,3.85,2.25177797301e+41,0.0,0.107,0.0,,,,,,,,,,,,,False,2.198595,3,,1,
5338b,,,3,3.084879,,,,,,,,,,,,,,0.572,0.063,9.07936507937,3.248,0.077,42.1818181818,6.459,,,,,,--,3.084879,3,,1,
5342,150.0785065,2.2618921,3,2.162929,2.1671,0.1,9.06,-1.24,0.601216838835,1.165,0.048,24.2708333333,5.026,4.25729502777e+41,,,,0.383,0.127,3.0157480315,1.43,0.216,6.62037037037,4.842,,,,,,--,2.162929,3,2.16285,3,
5381,150.1834259,2.2628801,3,2.088903,2.1221,0.3,9.43,-0.36,1.28110023592,4.309,0.25,17.236,2.766,1.44578976052e+42,0.339,0.121,2.80165289256,,,,,,,,,,,,,False,2.088903,3,,1,
5385,150.2016907,2.2625613,3,2.06087,1.8922,0.5,9.32,0.33,0.927053899508,1.399,0.104,13.4519230769,1.0,4.54095092293e+41,0.325,0.107,3.03738317757,,,,,,,,,,,,,False,2.06087,3,,1,SF_5419b
5408,150.0662231,2.2631197,3,2.097944,2.0829,0.8,9.74,-0.06,1.59098428241,3.693,0.148,24.9527027027,7.936,1.2523023372e+42,0.467,0.078,5.98717948718,0.714,0.207,3.44927536232,2.074,0.104,19.9423076923,4.577,,,,,,False,2.097944,3,2.097919,3,
5419,150.2036591,2.2636604,3,2.21282,2.1096,0.9,9.86,0.25,1.66947187376,3.271,0.165,19.8242424242,6.912,1.26398168899e+42,0.515,0.107,4.81308411215,,,,,,,,,,,,,False,2.21282,3,,1,
5582,150.2296448,2.2653875,3,2.18286,2.0828,0.1,9.6,0.41,0.973754735143,2.686,0.101,26.5940594059,4.242,1.00385651952e+42,0.399,0.065,6.13846153846,,,,,,,,,,,,,False,2.18286,3,,1,
5609,150.0983887,2.2659245,3,2.089525,2.1968,0.2,9.47,-0.83,1.52494143606,8.961,0.248,36.1330645161,4.953,3.00886252155e+42,0.971,0.143,6.79020979021,2.079,0.1,20.79,8.281,0.09,92.0111111111,3.595,,,,,,False,2.089525,3,2.089731,3,
5630,150.2009735,2.2665324,3,2.242933,2.1716,0.8,9.97,-1.2,1.69914143475,4.022,0.1,40.22,6.998,1.60644678401e+42,0.588,0.081,7.25925925926,,,,,,,,,,,,,False,2.242933,3,,1,
5643,150.0533447,2.2668409,3,2.096012,2.0242,0.5,9.54,-1.63,0.568632783207,0.588,0.075,7.84,4.46,1.98941639146e+41,0.046,0.05,0.92,,,,,,,,,,,,,False,2.096012,3,,1,
5656,150.062149,2.2687924,1,,0.9351,0.3,10.71,-22.13,,1.178,0.624,1.88782051282,9.789,,1.97,0.346,5.6936416185,,,,,,,,,,,,,--,2.04803,1,,1,SF_5870b
5696,150.0583649,2.2672179,3,2.092938,2.1338,0.5,9.51,0.27,1.29003307953,3.107,0.14,22.1928571429,4.115,1.04743236268e+42,0.448,0.078,5.74358974359,0.612,0.056,10.9285714286,2.223,0.072,30.875,1.692,,,,,,False,2.092938,3,2.092919,3,
5745,150.0987091,2.2678106,3,2.091982,2.1962,0.2,9.15,-2.02,1.26931873386,4.96,0.155,32.0,4.366,1.67024293182e+42,0.263,0.078,3.37179487179,,,,,,,,,,,,,False,2.091982,3,,1,
5751,150.0974274,2.2684367,3,2.091978,2.1404,0.1,9.72,-0.59,1.44168477309,8.756,0.138,63.4492753623,4.703,2.94850373192e+42,0.514,0.063,8.15873015873,1.732,0.053,32.679245283,7.29,0.064,113.90625,2.302,,,,,,False,2.091978,3,2.09194,3,SF_5745b
5794,150.0958099,2.2681212,2,2.094417,2.015,0.0,8.93,-3.33,-0.078291225366,0.313,0.042,7.45238095238,0.0,1.05701629716e+41,0.054,0.033,1.63636363636,,,,,,,,,,,,,False,2.094417,2,,1,
5803,150.1860199,2.2685995,1,,2.063,0.9,10.42,-0.62,,0.374,0.147,2.54421768707,6.979,,0.0,0.098,0.0,,,,,,,,,,,,,--,2.328077,1,,1,
5808,150.1907501,2.2684357,3,2.091488,2.0344,0.2,9.08,0.26,0.570971819915,0.994,0.109,9.11926605505,2.955,3.34528196069e+41,0.102,0.053,1.92452830189,,,,,,,,,,,,,False,2.091488,3,,1,
5829,150.0689392,2.2692676,3,2.162573,2.1341,1.0,10.29,1.7,1.86197127514,4.541,0.078,58.2179487179,7.069,1.65876240543e+42,0.818,0.081,10.0987654321,1.087,0.076,14.3026315789,2.327,0.113,20.592920354,2.842,,,,,,False,2.162573,3,2.162571,3,
5841,150.0833893,2.2690432,3,3.162525,3.114,0.5,9.98,0.8,,,,,,,,,,0.377,0.077,4.8961038961,0.565,0.082,6.89024390244,7.461,,,,,,--,3.162525,3,,1,
5870,150.0609436,2.2696433,3,2.104194,2.1024,0.8,9.9,0.89,1.33362749632,2.027,0.095,21.3368421053,4.586,6.92392579839e+41,0.128,0.09,1.42222222222,,,,,,,,,,,,,False,2.104194,3,,1,
5873,150.0371399,2.2691343,2,2.328809,2.123,0.5,9.75,0.67,1.18072894212,1.86,0.124,15.0,3.256,8.14370157898e+41,0.256,0.094,2.72340425532,,,,,,,,,,,,,False,2.328809,2,,1,
5914,150.0970917,2.2701759,3,2.095252,2.1698,0.1,9.41,0.16,1.03367209627,3.409,0.079,43.1518987342,3.224,1.15236220252e+42,0.174,0.048,3.625,1.684,0.195,8.6358974359,4.267,0.105,40.6380952381,1.709,,,,,,False,2.095252,3,2.095313,3,
5917,150.1287842,2.2698135,2,2.560768,2.0451,0.8,9.75,0.51,1.64838258841,2.59,0.253,10.2371541502,6.482,1.42924768392e+42,0.398,0.214,1.85981308411,,,,,,,,,,,,,False,2.560768,2,,1,
5946,150.2017059,2.2698772,1,,2.5488,0.6,8.69,1.25,,0.271,0.118,2.29661016949,1.0,,0.153,0.113,1.35398230088,,,,,,,,,,,,,--,2.06178,1,,1,
5986,150.0643158,2.2710719,1,,2.0983,1.0,9.49,0.42,,1.084,0.283,3.83038869258,1.0,,0.0,0.109,0.0,0.0,0.09,0.0,0.029,0.11,0.263636363636,4.799,,,,,,--,2.122804,1,1.995464,1,
6018,150.0806122,2.2711763,3,2.412769,2.3918,0.1,9.23,0.06,0.901105778205,1.779,0.156,11.4038461538,5.106,8.49224836153e+41,0.319,0.128,2.4921875,,,,,,,,,,,,,False,2.412769,3,,1,
6027,150.193222,2.2727983,3,2.089183,2.0379,1.1,10.74,1.36,1.63766614409,2.484,0.217,11.4470046083,7.499,8.3372543846e+41,1.61,0.167,9.64071856287,,,,,,,,,,,,,True,2.089183,3,,1,
6114,150.1944122,2.2733262,3,2.09844,2.0118,1.9,10.73,-0.63,1.86530117814,1.053,0.14,7.52142857143,16.983,3.57281136206e+41,0.044,0.128,0.34375,,,,,,,,,,,,,False,2.09844,3,,1,
6117,150.0361023,2.2724214,1,,2.0034,0.9,9.32,-0.98,,,,,,,0.182,0.107,1.70093457944,,,,,,,,,,,,,--,1.998795,1,,1,
6319,150.075592,2.2775588,1,,0.7346,1.0,9.57,-1.6,,0.837,0.453,1.84768211921,6.23,,0.0,0.122,0.0,,,,,,,,,,,,,--,2.047325,1,,1,SF_6407b
635,150.1742249,2.1958168,1,,0.364,0.1,8.77,-0.87,,,,,,,,,,0.0,0.062,0.0,0.209,0.112,1.86607142857,4.176,,,,,,--,3.462111,1,,1,SF_BKG_522b
6401,150.1957245,2.2768645,3,3.106756,3.0962,0.0,9.45,0.09,,,,,,,,,,0.372,0.091,4.08791208791,1.617,0.165,9.8,10.348,,,,,,--,3.106756,3,,1,
6407,150.0758514,2.2771626,1,,2.1063,0.1,9.28,-0.33,,0.108,0.08,1.35,5.362,,0.101,0.087,1.16091954023,,,,,,,,,,,,,--,2.125296,1,,1,
6485,150.0619049,2.2783875,3,2.163137,2.1468,1.1,10.41,1.21,1.72655612717,2.799,0.085,32.9294117647,8.817,1.02308810628e+42,0.267,0.085,3.14117647059,0.131,0.145,0.903448275862,0.737,0.112,6.58035714286,4.669,,,,,,False,2.163137,3,2.133637,3,
6523,150.0904083,2.2787893,3,2.087748,2.1808,0.1,9.23,-0.57,0.886919985211,2.453,0.14,17.5214285714,6.541,8.21933901853e+41,0.228,0.061,3.73770491803,0.599,0.054,11.0925925926,2.179,0.065,33.5230769231,2.555,,,,,,False,2.087748,3,2.087346,3,
