# FIELD ID_V2.1D ID_V4.0 RA_1       DEC_1     Z_MOSFIRE MASKNAME TARGET id    x       y      ra_2         dec_2       faper_F160W eaper_F160W faper_F140W eaper_F140W f_F160W   e_F160W    w_F160W f_U          e_U         w_U  f_G          e_G         w_G  f_F606W      e_F606W    w_F606W f_R         e_R         w_R  f_I        e_I         w_I  f_F814W     e_F814W    w_F814W f_Z        e_Z        w_Z  f_F125W   e_F125W    w_F125W f_J1        e_J1      w_J1 f_J2      e_J2      w_J2 f_J3        e_J3      w_J3 f_J        e_J       w_J   f_F140W    e_F140W    w_F140W f_H1       e_H1      w_H1 f_H2        e_H2      w_H2 f_H        e_H        w_H  f_K        e_K       w_K  f_Ks        e_Ks       w_Ks f_IRAC1    e_IRAC1   w_IRAC1 f_IRAC2    e_IRAC2   w_IRAC2 f_IRAC3     e_IRAC3  w_IRAC3 f_IRAC4    e_IRAC4  w_IRAC4 tot_cor wmin_ground wmin_hst wmin_irac wmin_wfc3 z_spec star_flag kron_radius a_image b_image theta_J2000 class_star flux_radius fwhm_image flags IRAC1_contam IRAC2_contam IRAC3_contam IRAC4_contam contam_flag f140w_flag use_phot near_star nexp_f125w nexp_f140w nexp_f160w Separation           
  AEGIS 10002    27274   214.799591 52.821102 1.6134    ae2_03   1      27274 27873.3 7571.6 214.79962158 52.82111359 2.504167    0.02851886  2.68432     0.04949587  3.452914  0.06073321 1.0     1.913561     0.03252893  0.88 1.922984     0.01902047  0.92 2.067138     0.03389218 0.7     1.831807    0.02130353  0.97 1.840649   0.02824736  0.91 1.863362    0.05186459 0.68    1.884309   0.06206689 0.78 3.505292  0.04822733 0.9     2.811713    0.2180653 0.48 2.649553  0.2802303 0.45 3.809635    0.3210036 0.54 4.725768   0.2739135 0.34  3.701323   0.06824826 1.0     3.855671   0.5350547 0.52 5.576334    0.5330803 0.46 4.421076   0.3402269  0.74 3.494193   0.625977  0.5  4.117584    0.4381294  0.92 4.46799    0.1404979 0.87    4.711824   0.1544251 0.98    2.822801    1.600827 0.95    2.806784   1.555888 1.0     1.1093  0.3366      0.6821   0.8729    0.8956    -1.0   0         3.54        3.67    2.63    28.1        0.03       3.403       0.0        0     0.038        0.046        0.581        0.169        1           0          1        0         6.0        8.0        6.0        0.07852838393922067  
  AEGIS 9501     26028   214.804749 52.819939 2.1583    ae2_03   1      26028 27805.9 7383.8 214.80477905 52.8199501  2.558447    0.03588127  2.082189    0.06914902  3.91215   0.09979944 0.68    2.166491     0.03670132  0.88 1.745649     0.02128562  0.92 1.854126     0.03764413 0.7     1.629441    0.02382077  0.97 1.581064   0.03164955  0.91 1.596491    0.05612198 0.72    1.694951   0.06954591 0.78 2.487854  0.06643053 0.58    1.217031    0.2459723 0.48 1.870356  0.3180587 0.5  2.43775     0.362322  0.56 0.9520405  0.3074625 0.43  3.183898   0.1057365  0.52    2.809459   0.6031859 0.52 3.06864     0.6060214 0.48 2.986826   0.378086   0.9  3.192402   0.701332  0.51 2.438644    0.4925495  1.0  -99.0      -99.0     0.0     -99.0      -99.0     0.0     -99.0       -99.0    0.0     -99.0      -99.0    0.0     1.0799  0.4288      0.5208   0.0       0.5208    -1.0   0         4.19        3.55    2.95    -26.1       0.03       4.127       0.0        3     -99.0        -99.0        -99.0        -99.0        0           0          1        0         4.0        4.0        4.0        0.07662089754865035  
  AEGIS 9296     25520   214.806625 52.819225 1.3608    ae2_03   0      25520 27793.4 7303.9 214.8066864  52.81924438 2.05227     0.03486241  1.620192    0.06953413  3.132145  0.1004754  0.72    0.5154392    0.03400941  0.88 0.5005594    0.01984334  0.92 0.5298144    0.03745615 0.7     0.6105676   0.02216168  0.97 0.7479842  0.02943333  0.91 0.8122679   0.05583051 0.72    1.203192   0.06498018 0.78 2.249722  0.06517245 0.6     1.531615    0.2324277 0.5  1.932085  0.3003108 0.49 2.338337    0.3423711 0.56 1.880228   0.2863038 0.37  2.472714   0.106122   0.52    3.706086   0.5722607 0.52 4.321315    0.573009  0.48 3.673      0.3544353  0.87 4.712797   0.668758  0.52 4.20542     0.4600021  0.83 8.049952   0.2230216 0.93    8.463608   0.1952314 0.99    4.417024    1.80183  0.97    7.473174   1.752649 1.0     1.0775  0.3719      0.515    0.9308    0.515     -1.0   0         4.14        3.79    2.99    -51.3       0.03       4.037       0.0        0     0.612        0.327        1.336        0.788        1           0          1        0         4.0        4.0        4.0        0.15070362994872633  
  AEGIS 7761     21675   214.788101 52.790684 2.463     ae2_03   1      21675 29535.3 6710.6 214.78811646 52.79070282 1.609069    0.03658317  1.304639    0.04876029  3.310751  0.1435477  0.65    0.389787     0.03772159  0.86 0.6904848    0.02196369  0.91 0.76996      0.04842799 0.76    0.8769685   0.02462479  0.95 0.8076627  0.03272503  0.91 0.8449373   0.0736332  0.75    1.150912   0.07220431 0.78 1.960787  0.08421384 0.65    0.5367536   0.2460077 0.7  1.658629  0.3195199 0.69 2.14167     0.364829  0.77 2.213945   0.3192117 0.54  2.68437    0.1003271  1.0     4.018479   0.6015475 0.67 3.943984    0.6116084 0.67 4.187797   0.3968786  0.85 6.100391   0.7088026 0.7  3.771721    0.5155177  0.89 8.021039   0.1708514 0.91    8.806312   0.1855722 0.96    7.539935    1.887458 0.99    6.301726   1.843876 0.73    1.056   0.5415      0.6516   0.7275    0.6516    -1.0   0         4.27        4.62    3.75    34.7        0.02       5.716       0.0        0     0.125        0.095        0.146        0.246        0           0          1        0         4.0        8.0        4.0        0.07565124968580243  
  AEGIS 8430     23501   214.819626 52.820374 2.1342    ae2_03   1      23501 27437.0 6988.8 214.81965637 52.82038116 1.868878    0.03448252  1.695612    0.06844599  3.954806  0.1332888  0.73    0.9729416    0.03728757  0.88 1.427855     0.0217015   0.92 1.526626     0.06390743 0.46    1.514033    0.0244961   0.97 1.583446   0.03251165  0.91 1.654822    0.09246749 0.51    1.680582   0.07205168 0.78 3.034199  0.08916642 0.62    2.391681    0.2394999 0.48 2.266113  0.3106682 0.5  2.877238    0.3548068 0.56 3.29275    0.3200903 0.38  3.588152   0.1448413  0.53    3.667583   0.5918182 0.51 4.420148    0.5936658 0.49 4.326972   0.395906   0.93 2.493329   0.6931356 0.5  4.590743    0.5148952  0.82 4.20382    0.1499946 0.95    4.473169   0.1647501 1.0     3.109872    1.71133  0.99    3.616161   1.66886  0.96    1.0573  0.3804      0.4629   0.9457    0.5315    -1.0   0         3.92        5.33    3.77    71.4        0.03       5.841       0.0        0     0.0070       0.0060       0.044        0.0040       0           0          1        0         4.0        4.0        4.0        0.07092098624221634  
  AEGIS 6136     18891   214.788544 52.775894 1.3542    ae2_03   1      18891 30202.1 6124.6 214.78855896 52.77591324 10.24546    0.03599903  8.257353    0.06832035  32.17699  0.6604648  0.67    0.5945227    0.05626275  0.87 0.8389       0.03326743  0.91 1.427984     0.07592599 0.72    1.588912    0.03778562  0.95 3.254444   0.05028884  0.91 3.846719    0.1130022  0.75    6.123832   0.1108441  0.78 20.17032  0.142646   0.53    14.36075    0.3532907 0.68 19.71127  0.4600632 0.68 23.08434    0.5278603 0.78 19.80652   0.4964273 0.5   25.93311   0.2145675  0.53    33.00945   0.8655837 0.67 35.02159    0.8914833 0.69 34.75006   0.6139052  0.75 55.41557   1.022361  0.74 51.25746    0.8015468  0.74 95.42051   0.480668  0.9     96.82352   0.4362863 0.9     64.0757     2.325843 0.99    51.76538   2.217134 0.83    1.0     0.4967      0.5311   0.8343    0.5311    -1.0   0         3.9         19.74   11.94   31.6        0.03       10.721      0.0        3     0.104        0.087        0.238        0.179        0           0          0        1         3.0        4.0        4.0        0.07654354526276387  
  AEGIS 6084     17437   214.797073 52.779476 2.3009    ae2_03   1      17437 29837.8 6027.8 214.79707336 52.77949905 2.188811    0.03582071  1.651881    0.06900648  6.037471  0.2143288  0.68    0.1361158    0.04441525  0.88 0.4511342    0.02624359  0.92 0.5878627    0.06521493 0.76    0.6402737   0.02983108  0.97 0.7101882  0.03955925  0.91 0.7333099   0.09805591 0.76    0.9135158  0.08739491 0.78 2.995433  0.1265181  0.52    1.035549    0.2714176 0.69 2.747966  0.3517652 0.68 3.876516    0.4049557 0.77 1.545522   0.3937535 0.43  4.556439   0.1903429  0.52    4.365975   0.6666341 0.71 7.399745    0.6843366 0.72 5.61989    0.4922373  0.77 10.80637   0.7849473 0.76 12.08415    0.6327186  0.87 18.07032   0.1721194 0.87    20.98646   0.1901157 0.93    21.64838    1.918586 0.92    12.90437   1.87975  0.74    1.0268  0.4268      0.5207   0.7436    0.5207    -1.0   0         4.6         6.83    4.25    -8.5        0.03       7.865       0.0        0     0.033        0.035        0.033        0.184        0           0          1        0         3.0        4.0        4.0        0.08298370289792521  
  AEGIS 5889     16690   214.80661  52.783821 2.2277    ae2_03   1      16690 29415.0 5931.1 214.80664062 52.78383636 2.615       0.03620235  2.143756    0.06927095  3.883755  0.0913092  0.67    0.517027     0.03297242  0.88 0.9211832    0.01934531  0.92 1.059987     0.03647187 0.7     1.056862    0.02153524  0.97 1.145198   0.02866758  0.91 1.21839     0.05441283 0.72    1.380052   0.06324089 0.78 2.52823   0.06853515 0.51    2.006147    0.2230088 0.69 2.224644  0.289585  0.65 2.884395    0.328684  0.78 2.153527   0.2777408 0.53  3.183872   0.1028801  0.52    3.878609   0.5473049 0.66 5.711446    0.5524429 0.68 3.49396    0.3457566  0.71 5.359694   0.6432542 0.74 3.971313    0.4472954  1.0  5.457835   0.1546963 0.82    5.780535   0.1700079 0.89    10.29845    1.757145 0.86    8.87547    1.706439 0.74    1.0883  0.5342      0.5145   0.7439    0.5145    -1.0   0         3.82        3.79    2.85    -42.4       0.04       3.695       0.0        0     0.076        0.087        0.147        0.047        0           0          1        0         3.0        4.0        4.0        0.08661791397325645  
  AEGIS 5984     16730   214.805939 52.783978 2.0526    ae2_03   0      16730 29423.8 5956.5 214.80595398 52.78399658 1.339986    0.0361982   1.119601    0.06873234  1.767975  0.06518341 0.67    0.4958664    0.0307613   0.88 0.5656256    0.01796444  0.92 0.6105458    0.03154937 0.74    0.5564324   0.02000508  0.97 0.5522588  0.02657831  0.91 0.4990427   0.04745158 0.75    0.5308574  0.05864908 0.78 0.6885824 0.05978855 0.53    -0.1440533  0.2100035 0.7  0.9075484 0.2725654 0.69 0.6800839   0.3083397 0.77 1.183354   0.2596638 0.55  1.4772     0.09068536 0.53    2.334846   0.5159434 0.69 0.9682814   0.5209951 0.7  1.469504   0.3207621  0.73 0.9544888  0.6033421 0.75 1.908457    0.4163452  1.0  0.8616763  0.157187  0.82    0.9678705  0.1736705 0.87    2.175463    1.619139 0.87    1.258186   1.571718 0.74    1.1306  0.5507      0.5271   0.7406    0.5271    -1.0   0         3.96        2.62    2.26    -37.9       0.38       2.804       0.0        0     2.591        2.567        2.362        3.573        1           0          1        0         3.0        4.0        4.0        0.07441681128887796  
  AEGIS 5814     16390   214.82225  52.793835 2.1302    ae2_03   1      16390 28589.7 5886.7 214.82228088 52.79384995 2.106956    0.03555652  1.790897    0.07162773  4.176284  0.1459363  0.69    0.5922015    0.03904682  0.88 1.061314     0.02284991  0.92 1.167814     0.04898602 0.69    1.241317    0.02565075  0.97 1.471965   0.03412966  0.91 1.371336    0.07511444 0.67    1.525027   0.07455393 0.78 2.968815  0.09370515 0.49    1.911309    0.2546627 0.59 3.087037  0.3291301 0.63 3.28249     0.3766883 0.71 4.41856    0.3328481 0.41  3.54981    0.1419762  0.49    6.546438   0.6260292 0.68 2.890115    0.630384  0.67 4.13833    0.4132844  0.83 3.901657   0.7345328 0.72 5.348048    0.5350796  0.82 5.850899   0.9562743 0.87    6.063642   0.7114718 0.88    3.605274    1.971852 0.92    7.547021   1.809466 0.79    1.0521  0.4084      0.4853   0.7868    0.4853    -1.0   0         4.37        4.95    3.59    46.8        0.03       5.481       0.0        3     3.669        2.535        5.749        1.733        1           0          1        0         3.0        4.0        4.0        0.08611233703684788  
